City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Ahwa,IN,20.75,73.6833,64.83,48,0,1.74,clear sky
87,Mount Pleasant,US,32.7941,-79.8626,65.3,59,40,8.05,scattered clouds
88,Avanigadda,IN,16.0215,80.9181,69.96,82,13,4.36,few clouds
89,Hamilton,US,39.1834,-84.5333,30.99,55,75,6.91,broken clouds
90,Cuamba,MZ,-14.8031,36.5372,69.31,98,100,1.25,light rain
91,Praia,CV,14.9215,-23.5087,73.94,73,0,17.27,clear sky
92,Marsh Harbour,BS,26.5412,-77.0636,75.18,80,100,19.22,moderate rain
93,Namibe,AO,-15.1961,12.1522,75.36,80,100,0.83,overcast clouds
94,Obala,CM,4.1667,11.5333,78.67,79,81,6.58,broken clouds
95,Mansa,IN,29.9833,75.3833,50.61,74,0,6.51,clear sky
96,Mehamn,NO,71.0357,27.8492,22.91,79,75,12.66,broken clouds
97,Ouesso,CG,1.6136,16.0517,77.13,30,99,0.49,overcast clouds
98,Saint-Augustin,CA,51.226,-58.6502,-3.93,83,1,8.77,clear sky
99,Lebu,CL,-37.6167,-73.65,64.85,74,78,9.48,broken clouds
100,Aligudarz,IR,33.4006,49.6949,27.18,63,0,5.01,clear sky
101,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.23,74,6,13.89,clear sky
102,Rawson,AR,-43.3002,-65.1023,88.18,22,0,20.51,clear sky
103,Kochubey,RU,44.3861,46.5825,32.88,60,1,5.39,clear sky
104,Coihaique,CL,-45.5752,-72.0662,81.21,34,0,6.91,clear sky
105,Uray,RU,60.1247,64.7758,-17.39,100,80,3.53,broken clouds
106,Mahebourg,MU,-20.4081,57.7,81.25,89,40,8.05,scattered clouds
107,Torbay,CA,47.6666,-52.7314,40.57,66,75,24.16,broken clouds
108,Filadelfia,US,39.9523,-75.1638,34.32,91,100,9.22,light snow
109,Mantua,IT,45.1667,10.7833,43.75,70,18,1.01,few clouds
110,Gornopravdinsk,RU,60.05,69.9,5.18,96,100,3.56,light snow
111,Florianopolis,BR,-27.6146,-48.5012,79.83,57,40,8.05,scattered clouds
112,Perevolotskiy,RU,51.8763,54.1938,16.61,95,96,10.18,light snow
113,Morondava,MG,-20.2833,44.2833,79.7,84,88,1.28,light rain
114,Saldanha,ZA,-33.0117,17.9442,69.85,92,0,21.39,clear sky
115,Ostrovnoy,RU,68.0531,39.5131,17.19,64,100,19.69,overcast clouds
116,Nizwa,OM,22.9333,57.5333,62.8,64,0,3.42,clear sky
117,Moroni,KM,-11.7022,43.2551,79.0,85,6,4.41,clear sky
118,Diamantino,BR,-14.4086,-56.4461,79.83,83,82,1.9,broken clouds
119,Madison,US,34.7334,-86.5667,45.45,34,0,6.91,clear sky
120,Dingle,PH,10.9995,122.6711,74.05,94,94,6.58,overcast clouds
121,Agirish,RU,61.9247,63.0231,-7.49,100,90,1.14,overcast clouds
122,Takoradi,GH,4.8845,-1.7554,79.43,86,48,6.93,light rain
123,Canoinhas,BR,-26.1772,-50.39,68.2,86,98,1.21,overcast clouds
124,Minsk,BY,53.9,27.5667,26.35,84,25,11.59,scattered clouds
125,Pavlovsk,RU,50.4578,40.1081,12.51,96,12,5.03,few clouds
126,Beira,MZ,-19.8436,34.8389,80.69,83,20,9.22,few clouds
127,Victoria,HK,22.2855,114.1577,61.25,87,100,8.99,overcast clouds
128,Gazojak,TM,41.1875,61.4036,42.48,69,99,20.18,overcast clouds
129,Ballina,AU,-28.8667,153.5667,66.16,96,100,8.05,overcast clouds
130,Viseu,PT,40.661,-7.9097,49.86,87,92,8.52,overcast clouds
131,Gilgit,PK,35.9221,74.3087,32.16,69,100,3.51,overcast clouds
132,Narsaq,GL,60.9167,-46.05,26.82,89,100,7.07,overcast clouds
133,Hearst,CA,49.6835,-83.6665,3.45,69,100,3.96,overcast clouds
134,Lunenburg,CA,44.3835,-64.3155,32.22,74,100,3.44,overcast clouds
135,Panama City,PA,8.9936,-79.5197,93.15,54,40,17.27,scattered clouds
136,Murgab,TM,37.4966,61.9714,40.87,65,3,0.0,clear sky
137,Demir Kapija,MK,41.405,22.2489,43.34,88,80,5.57,broken clouds
138,Bani,DO,18.2833,-70.3333,84.74,52,2,15.12,clear sky
139,Leshukonskoye,RU,64.8989,45.7622,-1.01,100,88,3.96,overcast clouds
140,Chupa,RU,66.27,33.0549,22.33,94,100,10.87,light snow
141,Dakar,SN,14.6937,-17.4441,76.08,73,0,13.8,clear sky
142,Grindavik,IS,63.8424,-22.4338,28.87,86,75,8.05,light snow
143,Goderich,CA,43.7501,-81.7165,16.92,73,100,4.61,overcast clouds
144,Jacqueville,CI,5.2052,-4.4146,80.51,84,99,7.07,light rain
145,Camacari,BR,-12.6975,-38.3242,83.97,78,100,7.74,moderate rain
146,Trelew,AR,-43.249,-65.3051,96.46,11,0,12.41,clear sky
147,Sao Filipe,CV,14.8961,-24.4956,74.82,63,41,10.78,scattered clouds
148,Puerto Madryn,AR,-42.7692,-65.0385,84.34,24,0,19.39,clear sky
149,Cidreira,BR,-30.1811,-50.2056,69.94,91,100,4.12,overcast clouds
150,Tiznit,MA,29.5833,-9.5,54.68,69,0,0.07,clear sky
151,San Rafael,AR,-34.6177,-68.3301,88.3,14,0,13.73,clear sky
152,Lekoni,GA,-1.5843,14.2591,77.74,75,99,3.04,light rain
153,Vvedenskoye,RU,55.4753,65.0847,12.13,96,100,4.36,overcast clouds
154,Henties Bay,NA,-22.116,14.2845,73.85,86,55,3.49,moderate rain
155,Goure,NE,13.9835,10.2704,74.01,10,2,8.23,clear sky
156,Ponta Do Sol,PT,32.6667,-17.1,63.72,70,97,3.29,overcast clouds
157,Khorixas,NA,-20.3667,14.9667,71.02,84,100,14.16,moderate rain
158,Aksu,CN,41.1231,80.2644,28.67,40,10,5.17,clear sky
159,Gat,IL,31.61,34.7642,54.39,100,3,2.1,clear sky
160,Chiredzi,ZW,-21.05,31.6667,72.14,50,0,3.31,clear sky
161,Canazas,PA,8.3167,-81.2167,90.7,38,25,12.28,scattered clouds
162,Tres Arroyos,AR,-38.3739,-60.2798,79.27,25,0,8.48,clear sky
163,Keti Bandar,PK,24.1447,67.4497,68.59,58,0,7.83,clear sky
164,Sande,DE,53.5049,8.0142,47.01,56,100,20.71,overcast clouds
165,Akcakoca,TR,41.0866,31.1162,43.12,88,100,4.41,overcast clouds
166,Sabha,LY,27.0377,14.4283,55.89,25,0,8.81,clear sky
167,Pangnirtung,CA,66.1451,-65.7125,-25.6,75,20,0.0,few clouds
168,Shelburne,CA,44.0787,-80.2041,14.13,66,100,3.91,overcast clouds
169,Vestmannaeyjar,IS,63.4427,-20.2734,33.67,74,99,29.01,overcast clouds
170,Halifax,CA,44.6453,-63.5724,32.22,72,100,5.99,overcast clouds
171,Manicore,BR,-5.8092,-61.3003,80.37,81,100,1.21,overcast clouds
172,Tiruchchendur,IN,8.4833,78.1167,77.81,75,89,10.8,overcast clouds
173,Port-Cartier,CA,50.0334,-66.8654,5.76,78,71,4.65,broken clouds
174,Idah,NG,7.1065,6.7342,85.24,18,33,1.88,scattered clouds
175,Cayenne,GF,4.9333,-52.3333,80.1,87,75,11.5,mist
176,Oranjestad,AW,12.524,-70.027,78.75,89,75,17.27,broken clouds
177,Kutum,SD,14.2,24.6667,63.43,15,7,10.02,clear sky
178,Husavik,IS,66.0449,-17.3389,-2.29,79,65,14.0,broken clouds
179,Tukrah,LY,32.5341,20.5791,53.46,77,0,2.46,clear sky
180,Oriximina,BR,-1.7656,-55.8661,82.94,75,91,1.54,overcast clouds
181,Guarapari,BR,-20.6667,-40.4975,82.29,87,34,11.05,scattered clouds
182,Maneromango,TZ,-7.1988,38.7848,76.75,96,94,3.89,overcast clouds
183,Turukhansk,RU,65.8167,87.9833,-7.92,89,19,11.21,few clouds
184,Pisco,PE,-13.7,-76.2167,78.85,53,0,16.11,clear sky
185,Tihemetsa,EE,58.1462,25.0459,31.71,90,100,14.7,light snow
186,Berlevag,NO,70.8578,29.0864,22.95,80,75,13.8,light shower snow
187,Mazagao,BR,-0.115,-51.2894,87.85,93,100,3.69,moderate rain
188,Taoudenni,ML,22.6783,-3.9836,64.83,23,0,11.99,clear sky
189,Santarem,BR,-2.4431,-54.7083,84.33,79,20,8.05,few clouds
190,Trairi,BR,-3.2778,-39.2689,78.8,82,20,9.26,few clouds
191,Stavrovo,RU,56.1331,40.013,24.96,94,100,9.66,snow
192,Egersund,NO,58.4513,5.9997,43.09,95,100,15.82,light rain
193,Baghdad,IQ,33.3406,44.4009,51.71,43,0,8.05,clear sky
194,Storsteinnes,NO,69.2408,19.2344,23.38,95,98,4.65,light snow
195,Nortelandia,BR,-14.4547,-56.8028,79.47,87,100,1.41,heavy intensity rain
196,Mar Del Plata,AR,-38.0023,-57.5575,71.62,64,0,11.5,clear sky
197,Pobe,BJ,6.9801,2.6649,77.0,80,65,5.46,broken clouds
198,Maceio,BR,-9.6658,-35.7353,83.64,65,0,16.11,clear sky
199,Bedford,GB,52.1346,-0.4663,50.58,95,100,23.87,overcast clouds
200,Karad,IN,17.2833,74.2,67.69,47,3,4.83,clear sky
201,Doha,QA,25.2867,51.5333,64.38,59,0,8.05,clear sky
202,San Juan,AR,-31.5375,-68.5364,86.67,22,2,4.63,clear sky
203,Vakhtan,RU,57.9659,46.6889,2.3,100,80,2.73,broken clouds
204,Banfora,BF,10.6333,-4.7667,81.36,11,9,5.59,clear sky
205,Skegness,GB,53.1436,0.3363,48.97,92,100,25.99,overcast clouds
206,Najran,SA,17.4924,44.1277,56.05,42,12,3.36,few clouds
207,Suhut,TR,38.5311,30.5458,30.63,91,100,0.31,overcast clouds
208,Ancud,CL,-41.8697,-73.8203,80.22,73,17,5.48,few clouds
209,Edd,ER,13.9297,41.6925,77.34,77,46,4.18,scattered clouds
210,Banda Aceh,ID,5.5577,95.3222,78.01,78,43,5.19,scattered clouds
211,Zenzeli,RU,45.9241,47.0474,31.57,58,1,8.05,clear sky
212,Quatre Cocos,MU,-20.2078,57.7625,81.09,83,79,14.23,broken clouds
213,Brigantine,US,39.4101,-74.3646,36.05,90,100,8.05,snow
214,Taltal,CL,-25.4,-70.4833,71.24,68,17,7.29,few clouds
215,Tenenkou,ML,14.4572,-4.9169,74.53,12,5,10.4,clear sky
216,Kozmodemyansk,RU,56.3367,46.5711,23.83,100,75,2.17,broken clouds
217,Ronne,DK,55.1009,14.7066,39.11,75,20,12.66,few clouds
218,Ciudad Bolivar,VE,8.1222,-63.5497,86.5,46,100,9.46,overcast clouds
219,Jumla,NP,29.2747,82.1838,28.42,73,1,6.49,clear sky
220,Bud,US,39.447,-86.1758,26.31,79,100,9.78,light snow
221,Khanpur,PK,28.6453,70.6567,60.98,28,0,10.04,clear sky
222,Kosh-Agach,RU,50.0,88.6667,-22.5,98,55,2.91,broken clouds
223,Sosnogorsk,RU,63.6023,53.8817,-2.43,100,97,3.24,overcast clouds
224,Baracoa,CU,20.3467,-74.4958,80.69,67,23,5.41,few clouds
225,Narasannapeta,IN,18.4167,84.05,64.94,56,12,5.12,few clouds
226,Bafia,CM,4.75,11.2333,73.31,57,57,2.51,broken clouds
227,Newport,GB,51.5877,-2.9984,49.24,90,100,12.57,overcast clouds
228,Vorotynets,RU,56.0603,45.8633,3.79,100,51,3.22,broken clouds
229,Tarabuco,BO,-19.1667,-64.9167,54.75,62,100,5.39,overcast clouds
230,Winchester,GB,51.0651,-1.3187,50.68,93,75,17.27,moderate rain
231,Straumen,NO,63.8709,11.2999,36.5,90,85,5.32,overcast clouds
232,Nouadhibou,MR,20.931,-17.0347,66.18,82,100,14.97,overcast clouds
233,Umm Kaddadah,SD,13.6017,26.6876,65.5,17,16,13.29,few clouds
234,Mocuba,MZ,-16.8392,36.9856,72.52,98,92,0.67,light rain
235,Jalingo,NG,8.8833,11.3667,80.15,13,15,4.45,few clouds
236,Catalao,BR,-18.1658,-47.9464,72.55,90,36,4.27,scattered clouds
237,Aketi,CD,2.7388,23.7833,74.28,35,82,1.97,broken clouds
238,Brandenburg,DE,52.4167,12.55,43.92,77,96,12.73,overcast clouds
239,Rocha,UY,-34.4833,-54.3333,66.2,57,3,12.88,clear sky
240,Cravo Norte,CO,6.3017,-70.2041,91.54,30,17,10.96,few clouds
241,Touros,BR,-5.1989,-35.4608,85.1,75,9,11.5,clear sky
242,Onega,RU,63.9061,38.1404,21.24,94,100,12.26,snow
243,Cabedelo,BR,-6.9811,-34.8339,84.87,75,12,10.92,few clouds
244,Ouadda,CF,8.0777,22.4007,77.95,13,78,8.16,broken clouds
245,Savalou,BJ,7.9281,1.9756,82.74,60,91,5.35,overcast clouds
246,Sikonge,TZ,-5.6333,32.7667,65.16,96,99,2.89,light rain
247,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.0,60,0,10.36,clear sky
248,Kyabe,TD,9.4515,18.9449,83.3,13,100,4.41,overcast clouds
249,Uddevalla,SE,58.3478,11.9424,38.98,97,100,1.99,moderate rain
250,Savelugu,GH,9.6244,-0.8253,87.78,21,43,2.89,scattered clouds
251,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,1.14,broken clouds
252,Castro,BR,-24.7911,-50.0119,70.88,81,14,11.12,few clouds
253,Grand Gaube,MU,-20.0064,57.6608,81.37,79,89,5.99,overcast clouds
254,Puerto Carreno,CO,6.189,-67.4859,94.98,34,20,5.75,few clouds
255,Imatra,FI,61.1719,28.7524,33.13,95,100,16.24,overcast clouds
256,Veinticinco De Mayo,AR,-35.4323,-60.1727,78.06,39,0,8.01,clear sky
257,Turayf,SA,31.6725,38.6637,50.25,43,0,3.44,clear sky
258,Callosa De Segura,ES,38.125,-0.8782,55.22,78,41,2.68,scattered clouds
259,Necochea,AR,-38.5473,-58.7368,68.58,38,1,6.24,clear sky
260,Puerto Varas,CL,-41.3195,-72.9854,70.02,64,0,13.8,clear sky
261,Camacha,PT,33.0833,-16.3333,57.96,67,20,12.66,few clouds
262,Susangerd,IR,31.5608,48.1831,53.62,39,0,5.68,clear sky
263,Antalaha,MG,-14.9003,50.2788,74.53,92,39,4.54,scattered clouds
264,Aasiaat,GL,68.7098,-52.8699,1.04,86,100,36.82,overcast clouds
265,Yar-Sale,RU,66.8333,70.8333,-14.57,96,100,8.79,overcast clouds
266,Puerto Asis,CO,0.5133,-76.5007,82.96,66,100,3.11,overcast clouds
267,Khash,IR,28.2211,61.2158,46.22,67,69,5.57,broken clouds
268,Kinsale,IE,51.7075,-8.5306,40.23,93,20,6.91,few clouds
269,Assens,DK,55.2702,9.9008,42.66,73,100,18.81,overcast clouds
270,Rudbar,AF,30.15,62.6,52.36,48,97,8.63,overcast clouds
271,Constitucion,CL,-35.3333,-72.4167,66.94,72,55,8.5,broken clouds
272,Presidente Medici,BR,-11.1753,-61.9014,74.3,96,100,3.24,overcast clouds
273,Bubaque,GW,11.2833,-15.8333,78.3,71,3,13.98,clear sky
274,Bethanien,NA,-26.502,17.1583,76.3,57,66,6.44,broken clouds
275,Ginir,ET,7.1333,40.7,62.35,33,94,4.94,overcast clouds
276,Arrecife,ES,28.963,-13.5477,66.27,77,20,9.22,few clouds
277,Tabuk,PH,17.4189,121.4443,69.57,95,57,2.82,broken clouds
278,Suoyarvi,RU,62.0833,32.35,28.9,96,100,12.8,light snow
279,Mian Channun,PK,30.44,72.3543,54.16,57,3,7.85,clear sky
280,Olafsvik,IS,64.8945,-23.7142,30.92,88,100,8.3,snow
281,Mbandaka,CD,0.0487,18.2603,72.01,89,100,3.09,overcast clouds
282,Kruisfontein,ZA,-34.0033,24.7314,65.19,88,23,7.27,few clouds
283,Plettenberg Bay,ZA,-34.0527,23.3716,67.44,82,27,2.91,scattered clouds
284,Laguna,US,38.421,-121.4238,80.44,40,0,4.61,clear sky
285,Balapur,IN,20.6667,76.7667,69.22,30,1,6.04,clear sky
286,Luau,AO,-10.7073,22.2247,63.61,93,100,2.48,overcast clouds
287,Willowmore,ZA,-33.2926,23.4895,68.16,67,71,8.95,broken clouds
288,Codrington,AU,-38.2667,141.9667,62.58,82,67,6.96,broken clouds
289,Klaksvik,FO,62.2266,-6.589,32.92,67,100,29.97,overcast clouds
290,Gazanjyk,TM,39.2446,55.5154,41.52,57,98,12.44,overcast clouds
291,Belmonte,BR,-15.8631,-38.8828,82.4,87,100,8.21,overcast clouds
292,Carutapera,BR,-1.195,-46.02,77.54,90,100,6.35,overcast clouds
293,Bonavista,CA,48.6499,-53.1147,41.11,75,100,16.67,overcast clouds
294,Les Cayes,HT,18.2,-73.75,81.41,62,4,10.45,clear sky
295,Sayyan,YE,15.1718,44.3244,52.02,50,13,2.62,few clouds
296,Neuquen,AR,-38.9516,-68.0591,91.29,19,0,3.44,clear sky
297,Bonthe,SL,7.5264,-12.505,78.51,86,39,8.03,scattered clouds
298,Rondonopolis,BR,-16.4708,-54.6356,81.68,87,78,2.15,broken clouds
299,Bokoro,TD,12.3807,17.0568,78.4,13,62,9.91,broken clouds
300,Chegutu,ZW,-18.1302,30.1407,71.6,63,100,4.34,overcast clouds
301,Puerto Colombia,CO,10.9878,-74.9547,89.69,71,73,26.06,broken clouds
302,Hatillo De Loba,CO,8.9564,-74.0782,95.94,36,50,5.01,scattered clouds
303,Pietersburg,ZA,-23.9045,29.4688,68.85,60,11,2.3,few clouds
304,Lukulu,ZM,-14.3707,23.242,66.16,90,20,1.32,light rain
305,Nantucket,US,41.2835,-70.0995,37.51,86,100,17.27,overcast clouds
306,Tromso,NO,69.6496,18.957,23.38,73,75,6.91,broken clouds
307,Marzuq,YE,14.4,46.4667,58.84,46,3,3.31,clear sky
308,Astana,KZ,51.1801,71.446,12.15,92,100,2.24,mist
309,Lodja,CD,-3.4833,23.4333,70.3,90,96,2.55,overcast clouds
310,Kyshtovka,RU,56.555,76.6271,3.29,98,97,3.15,overcast clouds
311,Swellendam,ZA,-34.0226,20.4417,66.58,84,83,11.27,broken clouds
312,Damghan,IR,36.1683,54.348,39.15,58,0,7.78,clear sky
313,Ulagan,RU,50.6321,87.9563,-6.07,92,89,3.0,overcast clouds
314,Carbonia,IT,39.1672,8.5222,52.0,88,6,3.24,clear sky
315,Charyshskoye,RU,51.3978,83.5598,15.01,89,100,4.99,overcast clouds
316,Kulhudhuffushi,MV,6.6221,73.07,79.7,79,100,7.56,overcast clouds
317,Komsomolskiy,UZ,40.4272,71.7189,35.02,84,100,1.54,overcast clouds
318,Vaijapur,IN,19.9167,74.7333,67.96,43,0,7.56,clear sky
319,Coquimbo,CL,-29.9533,-71.3436,73.13,53,0,12.66,clear sky
320,Vila Velha,BR,-20.3297,-40.2925,82.35,86,75,13.8,broken clouds
321,Ambikapur,IN,23.1167,83.2,49.82,30,0,2.21,clear sky
322,Hauterive,FR,46.0901,3.4459,49.01,67,87,15.52,overcast clouds
323,Biala Podlaska,PL,52.0324,23.1165,31.3,66,11,9.95,few clouds
324,Chesma,RU,53.8111,60.6533,20.1,96,100,5.5,light snow
325,Catamarca,AR,-28.4696,-65.7852,84.78,32,15,5.99,few clouds
326,Tobermory,CA,45.2501,-81.6665,4.3,80,100,10.25,overcast clouds
327,Mahibadhoo,MV,3.7833,72.9667,81.37,78,100,10.96,overcast clouds
328,Manta,EC,-0.95,-80.7333,83.98,74,75,10.36,broken clouds
329,Jalu,LY,29.0331,21.5482,56.23,50,87,7.74,overcast clouds
330,Coari,BR,-4.085,-63.1414,77.77,96,100,2.64,overcast clouds
331,Havoysund,NO,70.9963,24.6622,21.43,84,100,6.11,overcast clouds
332,Guzelyurt,TR,38.2772,34.3719,21.99,71,94,3.18,overcast clouds
333,Saint-Francois,FR,46.4154,3.9054,48.67,65,0,17.27,clear sky
334,Sao Francisco De Assis,BR,-29.5503,-55.1311,87.55,12,0,12.48,clear sky
335,Tingo Maria,PE,-9.2895,-76.0088,76.78,75,100,1.79,overcast clouds
336,Cockburn Town,TC,21.4612,-71.1419,77.86,78,0,14.23,clear sky
337,San Ignacio,BZ,17.1561,-89.0714,84.34,70,75,6.91,broken clouds
338,Gibara,CU,21.1097,-76.1317,92.52,59,0,10.04,clear sky
339,Leh,IN,34.1667,77.5833,3.06,86,85,1.74,overcast clouds
340,Ekibastuz,KZ,51.6667,75.3667,4.05,97,76,4.54,broken clouds
341,Hualmay,PE,-11.0964,-77.6139,75.97,70,10,12.26,clear sky
342,Zaysan,KZ,47.4667,84.8667,11.82,86,100,2.13,overcast clouds
343,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,74,6,5.73,clear sky
344,Hobyo,SO,5.3505,48.5268,77.14,75,86,15.48,overcast clouds
345,Nanuque,BR,-17.8392,-40.3539,77.7,82,42,10.63,heavy intensity rain
