City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Baracoa,CU,80.69,few clouds,20.3467,-74.4958,Hostal Rio Miel
235,Jalingo,NG,80.15,few clouds,8.8833,11.3667,Debright Motel
241,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
243,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
245,Savalou,BJ,82.74,overcast clouds,7.9281,1.9756,Hotel F&F
250,Savelugu,GH,87.78,scattered clouds,9.6244,-0.8253,Yoo Naa's Palace
251,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
253,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
256,Veinticinco De Mayo,AR,78.06,clear sky,-35.4323,-60.1727,Estancia La Rosada
266,Puerto Asis,CO,82.96,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
273,Bubaque,GW,78.3,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
274,Bethanien,,76.3,broken clouds,-26.502,17.1583,Bethanie Hotel
284,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
291,Belmonte,BR,82.4,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
292,Carutapera,BR,77.54,overcast clouds,-1.195,-46.02,Lidera
294,Les Cayes,HT,81.41,clear sky,18.2,-73.75,Villa Orphee
297,Bonthe,SL,78.51,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
298,Rondonopolis,BR,81.68,broken clouds,-16.4708,-54.6356,Serras Hotel
301,Puerto Colombia,CO,89.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
316,Kulhudhuffushi,MV,79.7,overcast clouds,6.6221,73.07,Haajy Guest House 1
320,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
325,Catamarca,AR,84.78,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
327,Mahibadhoo,MV,81.37,overcast clouds,3.7833,72.9667,Omadhoo Inn
328,Manta,EC,83.98,broken clouds,-0.95,-80.7333,Balandra Hotel
330,Coari,BR,77.77,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
334,Sao Francisco De Assis,BR,87.55,clear sky,-29.5503,-55.1311,Hotel Aguiar
335,Tingo Maria,PE,76.78,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
336,Cockburn Town,TC,77.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
337,San Ignacio,BZ,84.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
341,Hualmay,PE,75.97,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
344,Hobyo,SO,77.14,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
345,Nanuque,BR,77.7,heavy intensity rain,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
